name,level,value,computedValue,fallback,feedbackValue,deprecatedComment,value.font-family,value.font-weight,value.line-height,value.font-size,value.letter-spacing,computedValue.font-family,computedValue.font-weight,computedValue.line-height,computedValue.font-size,computedValue.letter-spacing
base.opacity.100,base,{base.opacity.80},8,,,Use {base.opacity.80} instead,,,,,,,,,,
base.opacity.250,base,{base.opacity.200},20,,,Use {base.opacity.200} instead,,,,,,,,,,
base.opacity.300,base,{base.opacity.400},40,,,Use {base.opacity.400} instead,,,,,,,,,,
base.opacity.500,base,{base.opacity.840},84,,,Use {base.opacity.840} instead,,,,,,,,,,
base.palette.cinnamon.100,base,#ffefee,#ffefee,{base.palette.red.50},oklch(0.9533 0.0231 23.95 / 1),replace cinnamon100 with {base.palette.red.50}. Prefer to replace with `sys.color.bg.critical.softer` if used as a background color.,,,,,,,,,,
base.palette.cinnamon.200,base,#FCC9C5,#FCC9C5,{base.palette.red.100},oklch(0.9225 0.0394 25.51 / 1),replace cinnamon200 with {base.palette.red.100}. Prefer to replace with `sys.color.bg.critical.soft` if used as a background color.,,,,,,,,,,
base.palette.cinnamon.300,base,#ff867d,#ff867d,{base.palette.red.300},oklch(0.7533 0.1484 28.45 / 1),replace cinnamon300 with {base.palette.red.300},,,,,,,,,,
base.palette.cinnamon.400,base,#ff5347,#ff5347,{base.palette.red.400},oklch(0.6857 0.2037 29.76 / 1),replace cinnamon400 with {base.palette.red.400}. Prefer to replace with `sys.color.fg.critical.soft` if used as a foreground (text/icon) color.,,,,,,,,,,
base.palette.cinnamon.500,base,#de2e21,#de2e21,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),"replace cinnamon500 with {base.palette.red.600}. Prefer to replace with `sys.color.bg.critical.default` if used as a background color, or `sys.color.fg.critical.default` if used as a foreground (text/icon) color, or `sys.color.border.critical.default` if used as a border color.",,,,,,,,,,
base.palette.cinnamon.600,base,#a31b12,#a31b12,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),"replace cinnamon600 with {base.palette.red.700}. Prefer to replace with `sys.color.bg.critical.strong` if used as a background color, or `sys.color.fg.critical.strong` if used as a foreground (text/icon) color.",,,,,,,,,,
base.palette.peach.100,base,#fff3f0,#fff3f0,{base.palette.coral.50},oklch(0.9659 0.0171 35.14 / 1),replace peach100 with {base.palette.coral.50},,,,,,,,,,
base.palette.peach.200,base,#ffc2b3,#ffc2b3,{base.palette.coral.200},oklch(0.8476 0.0856 37.59 / 1),replace peach200 with {base.palette.coral.200},,,,,,,,,,
base.palette.peach.300,base,#ff957a,#ff957a,{base.palette.coral.300},oklch(0.7671 0.1418 38.37 / 1),replace peach300 with {base.palette.coral.300},,,,,,,,,,
base.palette.peach.400,base,#ff643d,#ff643d,{base.palette.red.400},oklch(0.6857 0.2037 29.76 / 1),replace peach400 with {base.palette.red.400},,,,,,,,,,
base.palette.peach.500,base,#de4721,#de4721,{base.palette.coral.600},oklch(0.5394 0.1828 36.43 / 1),replace peach500 with {base.palette.coral.600},,,,,,,,,,
base.palette.peach.600,base,#b53413,#b53413,{base.palette.coral.700},oklch(0.4616 0.1629 34.74 / 1),replace peach600 with {base.palette.coral.700},,,,,,,,,,
base.palette.chili-mango.100,base,#ffe6d9,#ffe6d9,{base.palette.coral.100},oklch(0.9344 0.0339 35.8 / 1),replace chili-mango100 with {base.palette.coral.100},,,,,,,,,,
base.palette.chili-mango.200,base,#ffc7ab,#ffc7ab,{base.palette.coral.200},oklch(0.8476 0.0856 37.59 / 1),replace chili-mango200 with {base.palette.coral.200},,,,,,,,,,
base.palette.chili-mango.300,base,#ff9b69,#ff9b69,{base.palette.coral.300},oklch(0.7671 0.1418 38.37 / 1),replace chili-mango300 with {base.palette.coral.300},,,,,,,,,,
base.palette.chili-mango.400,base,#ff671b,#ff671b,{base.palette.orange.500},oklch(0.6617 0.1893 44.93 / 1),replace chili-mango400 with {base.palette.orange.500},,,,,,,,,,
base.palette.chili-mango.500,base,#e04b00,#e04b00,{base.palette.orange.500},oklch(0.6617 0.1893 44.93 / 1),replace chili-mango500 with {base.palette.orange.500},,,,,,,,,,
base.palette.chili-mango.600,base,#a33600,#a33600,{base.palette.orange.700},oklch(0.4689 0.1456 40.5 / 1),replace chili-mango600 with {base.palette.orange.700},,,,,,,,,,
base.palette.cantaloupe.100,base,#ffeed9,#ffeed9,{base.palette.amber.50},oklch(0.969 0.0619 101.63 / 1),replace cantaloupe100 with {base.palette.amber.50}. Prefer to replace with `sys.color.bg.caution.softer` if used as a background color.,,,,,,,,,,
base.palette.cantaloupe.200,base,#fcd49f,#fcd49f,{base.palette.amber.200},oklch(0.9191 0.1547 99.7 / 1),replace cantaloupe200 with {base.palette.amber.200}. Prefer to replace with `sys.color.fg.caution.softer` if used as a foreground (text/icon) color.,,,,,,,,,,
base.palette.cantaloupe.300,base,#ffbc63,#ffbc63,{base.palette.amber.300},oklch(0.8432 0.1713 85.24 / 1),replace cantaloupe300 with {base.palette.amber.300}. Prefer to replace with `sys.color.bg.caution.soft` if used as a background color.,,,,,,,,,,
base.palette.cantaloupe.400,base,#ffa126,#ffa126,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),"replace cantaloupe400 with {base.palette.amber.400}. Prefer to replace with `sys.color.bg.caution.default` if used as a background color, or `sys.color.border.caution.default` if used as a border color.",,,,,,,,,,
base.palette.cantaloupe.500,base,#f38b00,#f38b00,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),replace cantaloupe500 with {base.palette.amber.500}. Prefer to replace with `sys.color.bg.caution.strong` if used as a background color.,,,,,,,,,,
base.palette.cantaloupe.600,base,#c06c00,#c06c00,{base.palette.amber.600},oklch(0.5505 0.1439 50.78 / 1),"replace cantaloupe600 with {base.palette.amber.600}. Prefer to replace with `sys.color.bg.caution.stronger` if used as a background color, or with `sys.color.border.caution.strong` if used as a border color.",,,,,,,,,,
base.palette.sour-lemon.100,base,#fff9e6,#fff9e6,{base.palette.amber.25},oklch(0.9779 0.0214 95.33 / 1),replace sour-lemon100 with {base.palette.amber.25},,,,,,,,,,
